Employee_ID,First_Name,Last_Name,Gender,Age,Join_Date,Department,City,Salary_PKR,Phone,Email,Performance_Score,
EMP 0113,hassan,Qureshi,m,45 yrs,06-13-2022,finance,islamabad,,03323308823,missing,5,
EMP 0055,FATIMA,AHMED,f,,03-Jan-20,IT,karachi,PKR 119892,-9122210,FATIMA.AHMED@HOTMAIL.COM,,
EMP0158,ahmed,chaudhry,Male,,22-04-20,H.R,rawalpindi,80720,N/A,missing,,
emp0136,Ali,chaudhry,female,28,11-20-2022,sales,Rawalpindi,140154,N/A,ali.chaudhry @ gmail.com,5,
EMP134,ahmed,Akhtar,M,,06-21-2020,sales,islamabad,N/A,03348959963,N/A,,
EMP149,nadia,malik,male,unknown,08-25-2021,H.R,karachi,PKR 113300,0318 9717315,nadia. malik@hotmail. com,1.4,
emp0023,FATIMA,SHEIKH,Male,N/A,23-01-21,Marketing,Karachi,"116,906",,fatima.sheikh@hotmail.com,,
EMP171,usman,Khan,Female,,23-05-22,HR,Karachi,146788,-971652,missing,not rated,
EMP 0151,FATIMA,AHMED,MALE,N/A,09-12-20,FINANCE,LAHORE,47341,N/A,missing,not rated,
EMP0076,Sara,butt,f,31,01-22-2023,Finance,KARACHI,82552,0330 5850331,N/A,N/A,
EMP14,nadia,Khan,Male,,02-11-23,IT,Karachi,N/A,,NADIA.KHAN@OUTLOOK.COM,1,
emp0057,FATIMA,AHMED,Male,,02-02-20,marketing,Islamabad,41483,0314-2155292,N/A,N/A,
emp0079,hassan,Qureshi,FEMALE,34 yrs,05-22-2023,Finance,Islamabad,N/A,0338-3058353,hassan.qureshi @ gmail.com,N/A,
EMP 0061,ahmed,chaudhry,m,,14-Nov-22,Marketing,islamabad,143768,not provided,AHMED.CHAUDHRY@GMAIL.COM,,
EMP0100,Sara,malik,Male,N/A,20-Apr-21,H.R,LAHORE,PKR 142398,-7940583,sara.malik @ gmail.com,,
EMP0091,usman,Khan,F,24 yrs,21-03-23,sales,Karachi,PKR 72308,,missing,N/A,
emp0133,ahmed,Khan,f,31 yrs,14-Feb-21,SALES,Rawalpindi,"60,939",03125430596,missing,not rated,
EMP0107,usman,malik,male,unknown,04-03-20,Marketing,rawalpindi,135525,03139831453,usman.malik @ gmail.com,,
EMP0077,hassan,SHEIKH,m,unknown,20-Jul-20,Finance,Islamabad,PKR 59216,,hassan.sheikh @ gmail.com,3,
EMP 0178,usman,chaudhry,F,22,02-Oct-23,SALES,Rawalpindi,,0330 1435831,N/A,not rated,
EMP 0101,Sara,Mirza,female,N/A,05-06-20,SALES,LAHORE,PKR 97838,0325-1198389,sara. mirza@hotmail. com,,
EMP 0174,Zara,butt,F,N/A,13-05-21,hr,KARACHI,,0328-6547155,missing,2,
emp0053,Sara,butt,MALE,,02-07-23,IT,LAHORE,135250,not provided,missing,2,
EMP 0085,Ali,Khan,f,56,07-08-20,it,islamabad,71421,N/A,ALI.KHAN@HOTMAIL.COM,not rated,
EMP0172,FATIMA,chaudhry,Female,,04-12-21,finance,lahore,,N/A,fatima. chaudhry@hotmail. com,N/A,
EMP 0115,Sara,Mirza,male,N/A,06-03-21,SALES,lahore,61193,-3341882,,N/A,
EMP0186,bilal,chaudhry,F,39 yrs,03-10-20,H.R,Lahore,32030,-3399202,missing,,
EMP0160,FATIMA,SHEIKH,FEMALE,55,08-Aug-20,hr,karachi,"37,609",0323 5389854,,not rated,
emp0010,bilal,butt,Male,unknown,18-02-21,finance,Islamabad,"98,432",not provided,BILAL.BUTT@OUTLOOK.COM,4,
EMP0032,nadia,butt,male,57 yrs,23-Oct-20,Finance,Rawalpindi,"30,043",0335-2381585,nadia.butt@outlook.com,2.7,
EMP20,bilal,Khan,MALE,N/A,05-05-20,Finance,Karachi,54017,0337-3497231,,2.6,
EMP 0162,usman,butt,male,,07-07-22,I.T,karachi,N/A,not provided,USMAN.BUTT@GMAIL.COM,N/A,
EMP0087,usman,SHEIKH,m,40 yrs,04-07-23,sales,Lahore,"72,495",N/A,,N/A,
EMP 0105,usman,SHEIKH,M,38 yrs,28-Aug-20,Sales,lahore,106171,-4473890,missing,N/A,
EMP 0103,bilal,HUSSAIN,F,,09-27-2021,HR,lahore,111230,not provided,bilal. hussain@yahoo. com,N/A,
EMP75,nadia,AHMED,FEMALE,,15-08-23,sales,Rawalpindi,71754,-3134701,nadia.ahmed @ gmail.com,N/A,
EMP 0112,hassan,butt,f,N/A,03-Jun-23,finance,lahore,36338,not provided,hassan.butt@outlook.com,,
EMP0156,FATIMA,chaudhry,M,N/A,04-18-2020,I.T,karachi,PKR 144602,03299058336,N/A,1.1,
EMP187,ahmed,malik,M,54 yrs,10-10-20,finance,LAHORE,137610,0325-8554487,N/A,not rated,
EMP 0012,MARIA,butt,FEMALE,unknown,01-01-21,SALES,KARACHI,PKR 62789,N/A,MARIA.BUTT@OUTLOOK.COM,not rated,
EMP0139,Ali,chaudhry,Female,N/A,07-Feb-23,FINANCE,Rawalpindi,52380,03434037204,,N/A,
EMP0099,bilal,Qureshi,FEMALE,55 yrs,22-10-20,FINANCE,karachi,,0344-8385979,BILAL.QURESHI@OUTLOOK.COM,3,
emp0127,hassan,SHEIKH,FEMALE,28,28-11-23,hr,Islamabad,121822,03347027873,missing,N/A,
EMP106,ahmed,SHEIKH,FEMALE,,04-20-2023,HR,Karachi,N/A,0345-2566407,ahmed.sheikh @ gmail.com,,
EMP 0122,FATIMA,HUSSAIN,m,,22-Jun-23,hr,Rawalpindi,35993,N/A,fatima.hussain@yahoo.com,4.3,
EMP 0016,Ali,chaudhry,M,unknown,30-May-23,finance,Islamabad,"51,116",not provided,ALI.CHAUDHRY@OUTLOOK.COM,,
emp0177,ahmed,chaudhry,FEMALE,unknown,12-16-2020,marketing,Islamabad,"66,050",N/A,N/A,not rated,
emp0035,MARIA,malik,m,unknown,20-09-21,Finance,LAHORE,32151,03476772038,maria. malik@yahoo. com,N/A,
